region,datetime,weather,temperature,rainfall,wind_direction,wind_level,wind_speed,wind_angle,pressure,humidity,air_quality,visibility,cloud,dew_point,shortwave_radiation,所在市_norm,所在区_norm
福建/泉州/鲤城,2026-01-01 10:00:00,多云,12.4,0.0,未知,2,8,0,1000,70,50,10,31,,212.0,泉州,鲤城
福建/莆田/城厢,2026-01-01 10:00:00,多云,13.7,0.0,未知,2,8,0,1000,59,50,10,91,,146.0,莆田,城厢
福建/泉州/鲤城,2026-01-01 11:00:00,多云,14.4,0.0,未知,2,8,0,1000,62,50,10,96,,424.0,泉州,鲤城
福建/宁德/蕉城,2026-01-01 11:00:00,多云,13.2,0.0,未知,2,8,0,1000,64,50,10,80,,287.0,宁德,蕉城
福建/莆田/城厢,2026-01-01 11:00:00,多云,14.4,0.0,未知,2,8,0,1000,58,50,10,53,,249.0,莆田,城厢
福建/福州/鼓楼,2026-01-01 11:00:00,多云,13.6,0.0,未知,2,8,0,1000,60,50,10,70,,350.0,福州,鼓楼
福建/泉州/鲤城,2026-01-01 12:00:00,多云,15.3,0.0,未知,2,8,0,1000,58,50,10,100,,389.0,泉州,鲤城
福建/莆田/城厢,2026-01-01 12:00:00,多云,15.6,0.0,未知,2,8,0,1000,55,50,10,64,,428.0,莆田,城厢
福建/福州/鼓楼,2026-01-01 12:00:00,多云,14.3,0.0,未知,2,8,0,1000,58,50,10,68,,352.0,福州,鼓楼
福建/宁德/蕉城,2026-01-01 12:00:00,多云,13.6,0.0,未知,2,8,0,1000,64,50,10,100,,290.0,宁德,蕉城
福建/莆田/城厢,2026-01-01 13:00:00,多云,16.0,0.0,未知,2,8,0,1000,55,50,10,55,,475.0,莆田,城厢
福建/福州/鼓楼,2026-01-01 13:00:00,多云,15.2,0.0,未知,2,8,0,1000,54,50,10,70,,416.0,福州,鼓楼
福建/宁德/蕉城,2026-01-01 13:00:00,多云,13.5,0.0,未知,2,8,0,1000,64,50,10,100,,218.0,宁德,蕉城
福建/泉州/鲤城,2026-01-01 13:00:00,多云,15.7,0.0,未知,2,8,0,1000,57,50,10,100,,290.0,泉州,鲤城
福建/宁德/蕉城,2026-01-01 14:00:00,多云,13.3,0.0,未知,2,8,0,1000,63,50,10,100,,134.0,宁德,蕉城
福建/泉州/鲤城,2026-01-01 14:00:00,多云,14.7,0.0,未知,2,8,0,1000,59,50,10,100,,150.0,泉州,鲤城
福建/福州/鼓楼,2026-01-01 14:00:00,多云,15.7,0.0,未知,2,8,0,1000,52,50,10,91,,436.0,福州,鼓楼
福建/莆田/城厢,2026-01-01 14:00:00,多云,16.9,0.0,未知,2,8,0,1000,52,50,10,38,,564.0,莆田,城厢
福建/福州/鼓楼,2026-01-01 15:00:00,多云,14.8,0.0,未知,2,8,0,1000,56,50,10,100,,345.0,福州,鼓楼
福建/宁德/蕉城,2026-01-01 15:00:00,多云,12.7,0.0,未知,2,8,0,1000,68,50,10,100,,89.0,宁德,蕉城
福建/泉州/鲤城,2026-01-01 15:00:00,多云,13.2,0.4,未知,2,8,0,1000,75,50,10,100,,109.0,泉州,鲤城
福建/莆田/城厢,2026-01-01 15:00:00,多云,16.4,0.0,未知,2,8,0,1000,53,50,10,38,,540.0,莆田,城厢
福建/福州/鼓楼,2026-01-01 16:00:00,多云,14.2,0.0,未知,2,8,0,1000,58,50,10,100,,95.0,福州,鼓楼
福建/宁德/蕉城,2026-01-01 16:00:00,多云,12.7,0.0,未知,2,8,0,1000,68,50,10,100,,98.0,宁德,蕉城
福建/莆田/城厢,2026-01-01 16:00:00,多云,16.5,0.0,未知,2,8,0,1000,52,50,10,30,,382.0,莆田,城厢
福建/泉州/鲤城,2026-01-01 16:00:00,多云,13.3,0.1,未知,2,8,0,1000,67,50,10,100,,96.0,泉州,鲤城
福建/福州/鼓楼,2026-01-01 17:00:00,多云,13.8,0.0,未知,2,8,0,1000,59,50,10,100,,60.0,福州,鼓楼
福建/泉州/鲤城,2026-01-01 17:00:00,多云,12.8,0.0,未知,2,8,0,1000,69,50,10,100,,67.0,泉州,鲤城
福建/莆田/城厢,2026-01-01 17:00:00,多云,15.5,0.0,未知,2,8,0,1000,54,50,10,38,,263.0,莆田,城厢
福建/宁德/蕉城,2026-01-01 17:00:00,多云,12.7,0.0,未知,2,8,0,1000,67,50,10,100,,54.0,宁德,蕉城
福建/莆田/城厢,2026-01-01 18:00:00,多云,13.9,0.0,未知,2,8,0,1000,59,50,10,100,,105.0,莆田,城厢
福建/福州/鼓楼,2026-01-01 18:00:00,多云,13.0,0.0,未知,2,8,0,1000,62,50,10,99,,30.0,福州,鼓楼
福建/泉州/鲤城,2026-01-01 18:00:00,多云,11.8,0.0,未知,2,8,0,1000,73,50,10,99,,35.0,泉州,鲤城
福建/宁德/蕉城,2026-01-01 18:00:00,多云,12.6,0.0,未知,2,8,0,1000,68,50,10,100,,23.0,宁德,蕉城
福建/莆田/城厢,2026-01-01 19:00:00,多云,12.8,0.0,未知,2,8,0,1000,65,50,10,77,,4.0,莆田,城厢
福建/福州/鼓楼,2026-01-01 19:00:00,多云,12.1,0.0,未知,2,8,0,1000,66,50,10,94,,2.0,福州,鼓楼
福建/泉州/鲤城,2026-01-01 19:00:00,多云,11.0,0.0,未知,2,8,0,1000,76,50,10,40,,4.0,泉州,鲤城
福建/宁德/蕉城,2026-01-01 19:00:00,多云,12.4,0.0,未知,2,8,0,1000,70,50,10,100,,1.0,宁德,蕉城
福建/莆田/城厢,2026-01-01 20:00:00,晴,11.9,0.0,未知,2,8,0,1000,70,50,10,22,,0.0,莆田,城厢
福建/泉州/鲤城,2026-01-01 20:00:00,多云,10.3,0.0,未知,2,8,0,1000,78,50,10,89,,0.0,泉州,鲤城
福建/宁德/蕉城,2026-01-01 20:00:00,多云,12.1,0.0,未知,2,8,0,1000,70,50,10,100,,0.0,宁德,蕉城
福建/福州/鼓楼,2026-01-01 20:00:00,多云,11.4,0.0,未知,2,8,0,1000,67,50,10,88,,0.0,福州,鼓楼
福建/福州/鼓楼,2026-01-01 21:00:00,多云,11.4,0.0,未知,2,8,0,1000,67,50,10,100,,0.0,福州,鼓楼
福建/泉州/鲤城,2026-01-01 21:00:00,多云,10.3,0.0,未知,2,8,0,1000,78,50,10,41,,0.0,泉州,鲤城
福建/宁德/蕉城,2026-01-01 21:00:00,多云,12.0,0.0,未知,2,8,0,1000,67,50,10,100,,0.0,宁德,蕉城
福建/莆田/城厢,2026-01-01 21:00:00,多云,11.6,0.0,未知,2,8,0,1000,73,50,10,38,,0.0,莆田,城厢
福建/莆田/城厢,2026-01-01 22:00:00,多云,11.3,0.0,未知,2,8,0,1000,73,50,10,97,,0.0,莆田,城厢
福建/福州/鼓楼,2026-01-01 22:00:00,多云,11.2,0.0,未知,2,8,0,1000,68,50,10,100,,0.0,福州,鼓楼
福建/泉州/鲤城,2026-01-01 22:00:00,多云,10.1,0.0,未知,2,8,0,1000,76,50,10,59,,0.0,泉州,鲤城
福建/宁德/蕉城,2026-01-01 22:00:00,多云,11.8,0.0,未知,2,8,0,1000,67,50,10,100,,0.0,宁德,蕉城
福建/福州/鼓楼,2026-01-01 23:00:00,多云,11.1,0.0,未知,2,8,0,1000,67,50,10,100,,0.0,福州,鼓楼
福建/泉州/鲤城,2026-01-01 23:00:00,多云,10.0,0.0,未知,2,8,0,1000,74,50,10,34,,0.0,泉州,鲤城
福建/宁德/蕉城,2026-01-01 23:00:00,多云,11.6,0.0,未知,2,8,0,1000,69,50,10,100,,0.0,宁德,蕉城
福建/莆田/城厢,2026-01-01 23:00:00,多云,11.4,0.0,未知,2,8,0,1000,71,50,10,100,,0.0,莆田,城厢
福建/宁德/蕉城,2026-01-02 00:00:00,多云,11.5,0.0,未知,2,8,0,1000,72,50,10,100,,0.0,宁德,蕉城
福建/泉州/鲤城,2026-01-02 00:00:00,多云,9.8,0.0,未知,2,8,0,1000,73,50,10,47,,0.0,泉州,鲤城
福建/莆田/城厢,2026-01-02 00:00:00,多云,11.6,0.0,未知,2,8,0,1000,70,50,10,100,,0.0,莆田,城厢
福建/福州/鼓楼,2026-01-02 00:00:00,多云,10.9,0.0,未知,2,8,0,1000,66,50,10,100,,0.0,福州,鼓楼
福建/宁德/蕉城,2026-01-02 01:00:00,多云,11.1,0.0,未知,2,8,0,1000,68,50,10,100,,0.0,宁德,蕉城
福建/福州/鼓楼,2026-01-02 01:00:00,多云,10.5,0.0,未知,2,8,0,1000,67,50,10,100,,0.0,福州,鼓楼
福建/莆田/城厢,2026-01-02 01:00:00,多云,11.5,0.0,未知,2,8,0,1000,68,50,10,100,,0.0,莆田,城厢
福建/泉州/鲤城,2026-01-02 01:00:00,多云,9.4,0.0,未知,2,8,0,1000,73,50,10,90,,0.0,泉州,鲤城
福建/莆田/城厢,2026-01-02 02:00:00,多云,11.1,0.0,未知,2,8,0,1000,67,50,10,96,,0.0,莆田,城厢
福建/泉州/鲤城,2026-01-02 02:00:00,多云,8.6,0.0,未知,2,8,0,1000,75,50,10,100,,0.0,泉州,鲤城
福建/宁德/蕉城,2026-01-02 02:00:00,多云,10.6,0.0,未知,2,8,0,1000,66,50,10,100,,0.0,宁德,蕉城
福建/福州/鼓楼,2026-01-02 02:00:00,多云,10.3,0.0,未知,2,8,0,1000,67,50,10,100,,0.0,福州,鼓楼
福建/宁德/蕉城,2026-01-02 03:00:00,多云,10.4,0.0,未知,2,8,0,1000,66,50,10,100,,0.0,宁德,蕉城
福建/福州/鼓楼,2026-01-02 03:00:00,多云,10.5,0.0,未知,2,8,0,1000,67,50,10,100,,0.0,福州,鼓楼
福建/莆田/城厢,2026-01-02 03:00:00,多云,10.9,0.0,未知,2,8,0,1000,68,50,10,42,,0.0,莆田,城厢
福建/泉州/鲤城,2026-01-02 03:00:00,多云,8.4,0.0,未知,2,8,0,1000,74,50,10,89,,0.0,泉州,鲤城
福建/福州/鼓楼,2026-01-02 04:00:00,多云,10.1,0.0,未知,2,8,0,1000,67,50,10,100,,0.0,福州,鼓楼
福建/莆田/城厢,2026-01-02 04:00:00,多云,10.6,0.0,未知,2,8,0,1000,68,50,10,67,,0.0,莆田,城厢
福建/泉州/鲤城,2026-01-02 04:00:00,多云,7.9,0.0,未知,2,8,0,1000,73,50,10,58,,0.0,泉州,鲤城
福建/宁德/蕉城,2026-01-02 04:00:00,多云,9.8,0.0,未知,2,8,0,1000,65,50,10,100,,0.0,宁德,蕉城
福建/泉州/鲤城,2026-01-02 05:00:00,多云,7.1,0.0,未知,2,8,0,1000,71,50,10,45,,0.0,泉州,鲤城
福建/宁德/蕉城,2026-01-02 05:00:00,多云,9.4,0.0,未知,2,8,0,1000,64,50,10,96,,0.0,宁德,蕉城
福建/莆田/城厢,2026-01-02 05:00:00,多云,10.4,0.0,未知,2,8,0,1000,68,50,10,100,,0.0,莆田,城厢
福建/福州/鼓楼,2026-01-02 05:00:00,多云,9.9,0.0,未知,2,8,0,1000,67,50,10,100,,0.0,福州,鼓楼
福建/福州/鼓楼,2026-01-02 06:00:00,多云,10.0,0.0,未知,2,8,0,1000,67,50,10,100,,0.0,福州,鼓楼
福建/莆田/城厢,2026-01-02 06:00:00,多云,10.5,0.0,未知,2,8,0,1000,66,50,10,100,,0.0,莆田,城厢
福建/宁德/蕉城,2026-01-02 06:00:00,多云,9.1,0.0,未知,2,8,0,1000,64,50,10,41,,0.0,宁德,蕉城
福建/泉州/鲤城,2026-01-02 06:00:00,多云,6.4,0.0,未知,2,8,0,1000,70,50,10,45,,0.0,泉州,鲤城
福建/福州/鼓楼,2026-01-02 07:00:00,多云,9.9,0.0,未知,2,8,0,1000,63,50,10,100,,0.0,福州,鼓楼
福建/泉州/鲤城,2026-01-02 07:00:00,多云,6.0,0.0,未知,2,8,0,1000,70,50,10,35,,0.0,泉州,鲤城
福建/宁德/蕉城,2026-01-02 07:00:00,晴,8.3,0.0,未知,2,8,0,1000,67,50,10,5,,0.0,宁德,蕉城
福建/莆田/城厢,2026-01-02 07:00:00,多云,10.4,0.0,未知,2,8,0,1000,65,50,10,100,,0.0,莆田,城厢
福建/莆田/城厢,2026-01-02 08:00:00,多云,10.5,0.0,未知,2,8,0,1000,65,50,10,100,,0.0,莆田,城厢
福建/福州/鼓楼,2026-01-02 08:00:00,多云,9.6,0.0,未知,2,8,0,1000,58,50,10,100,,0.0,福州,鼓楼
福建/泉州/鲤城,2026-01-02 08:00:00,晴,5.4,0.0,未知,2,8,0,1000,72,50,10,26,,0.0,泉州,鲤城
福建/宁德/蕉城,2026-01-02 08:00:00,晴,7.2,0.0,未知,2,8,0,1000,71,50,10,0,,0.0,宁德,蕉城
福建/泉州/鲤城,2026-01-02 09:00:00,晴,6.2,0.0,未知,2,8,0,1000,69,50,10,22,,64.0,泉州,鲤城
